Home_Losses_10_Gen_Form,Away_EMA_7_Gen_Form,HomeTeam_Spec_SMA_10_Form,AwayTeam_Spec_SMA_10_Form,AwayTeam_Spec_Wins_10_Form,Home_SMA_7_Gen_Goals_Pro,HomeTeam_Spec_EMA_5_Goals_Suffered,HomeTeam_Spec_EMA_10_Goals_Suffered,AwayTeam_Spec_SMA_3_Corners_Against,AwayTeam_Spec_EMA_7_Fouls_Against,AwayTeam_Spec_SMA_7_Yellows_Against,Home_SMA_5_Gen_ShotsTarget_Pro,Away_EMA_7_Gen_ShotsTarget_Against,Home_EMA_7_Gen_Shots_Pro,Home_SMA_5_Gen_Shots_Against,Away_SMA_7_Gen_Shots_Against,Home_EMA_10_Gen_GD,Away_EMA_5_Gen_GD,AwayTeam_Spec_EMA_10_GD,Home_SMA_7_Gen_Clean_Sheet,HomeTeam_Spec_EMA_10_Clean_Sheet,AwayTeam_Spec_EMA_3_Clean_Sheet,Away_EMA_7_Gen_FTS,Avg_Odds_Home,Avg_Odds_Away,FTR
3.0,-0.2802551411998381,0.5,-0.6,2.0,1.8571428571428568,0.9045583800086172,0.9333778632290404,5.333333333333333,8.860799149492637,0.2857142857142857,6.8,6.476790678517589,14.993123475400324,8.0,15.571428571428571,0.5903332646463252,-0.627900441524579,-0.9285425122977116,0.2857142857142857,0.3597348390982632,0.0625610948191593,0.1228440390373666,1.3480000000000003,7.8,H
1.0,-0.400491606559155,0.5,-0.6,0.0,1.4285714285714286,1.2204739336492891,1.2042639502102035,9.0,11.012199768172064,0.5714285714285714,5.6,7.210426143043265,11.30721511392584,9.2,13.714285714285714,0.3175193504592009,-1.1505809580391824,-1.3989927328664775,0.2857142857142857,0.3520652634217531,0.0,0.0295197781314616,1.364,7.340000000000001,D
2.0,-0.2299993109460478,0.9,0.3,6.0,1.4285714285714286,1.0272188876007289,0.9163256273902612,8.333333333333334,8.776304734915762,1.1428571428571428,4.8,7.190489824236189,9.754945106323555,8.8,11.571428571428571,0.6407851462858876,-0.7891806970196887,0.3403842728646808,0.1428571428571428,0.3057436844563356,0.0840254030288226,0.335276330156388,1.65,4.41,A
7.0,0.1492075783357805,-0.6,-0.5,1.0,0.7142857142857143,1.2171822490305906,1.299637143443241,4.666666666666667,11.497093840245729,2.142857142857143,5.8,4.764621821844735,12.89367494260244,9.0,7.857142857142857,-0.5652768033701505,0.6584654221906848,-0.6033659053448788,0.0,0.1150495449123094,0.0078163165608207,0.2266523140486301,2.4840000000000004,2.46,H
3.0,0.0304189865150932,0.1,-0.5,1.0,2.0,0.5325672905042292,0.7648502231362341,4.333333333333333,10.32496839399026,1.4285714285714286,4.2,4.871150503550806,9.6699271849438,8.0,9.285714285714286,1.0059707342747253,0.9474859940967416,-1.1234085177669009,0.2857142857142857,0.5239365998176255,0.0019550342130987,0.286010782535684,1.532,5.44,A
3.0,-0.2216681943496214,0.6,-0.4,3.0,1.0,0.7441618741397724,0.7145739116682189,4.333333333333333,10.092177129248372,0.5714285714285714,3.6,4.857234214764241,9.117709356939352,6.8,12.428571428571429,0.1373404226567227,-0.1810010787500493,-0.6269958458405238,0.4285714285714285,0.5340705262388861,0.0009770395701025,0.2743265411046842,2.042,3.13,D
4.0,0.4986345287571814,-0.2,0.1,4.0,1.4285714285714286,1.6894097371822492,1.561710830054637,7.0,10.91213437762079,1.7142857142857142,4.4,3.411716355036412,10.855538597470686,11.0,8.142857142857142,0.1899276717536818,1.443859099327577,0.1062199910816878,0.1428571428571428,0.2547589141800953,0.2554958475818271,0.1860027163361781,2.37,2.57,A
5.0,0.2853757449707296,0.5,0.2,5.0,1.4285714285714286,1.753985351141749,1.2649602036738357,5.666666666666667,12.275052626153707,1.2857142857142858,4.8,5.675426152911541,13.33009670391496,14.8,9.571428571428571,-0.2290493519213673,0.1732163551447546,0.3456528207155537,0.1428571428571428,0.4988803962926634,0.7781036168132942,0.0484741515860729,1.97,3.3,D
5.0,-0.1224182869469196,-0.3,-0.5,1.0,1.7142857142857142,2.0329513140887547,1.938956741999723,6.666666666666667,11.12092444167769,0.8571428571428571,3.6,4.929007376038308,7.61419465806405,9.8,10.571428571428571,-0.1865170970206636,-0.3969531347038429,-1.053525559418123,0.0,0.0937392582684568,0.0625610948191593,0.5842079289271689,2.27,2.7,H
4.0,0.0403838810136865,0.0,0.4,6.0,1.2857142857142858,1.4275915553640672,1.2598669735930292,7.0,6.947456714167476,0.7142857142857143,5.0,4.240276087175361,10.017901489556063,11.8,9.428571428571429,-0.731050531395174,0.0595086475289952,0.4729794388669593,0.1428571428571428,0.1282523488127522,0.0869990224828934,0.1775310647372503,2.926,2.1700000000000004,H
