Date,HomeTeam,AwayTeam,Home_Spec_Goals_Pro,Away_Spec_Goals_Pro,Home_Gen_Goals_Pro,Away_Gen_Goals_Pro,Home_Spec_HT_Goals_Pro,Away_Spec_HT_Goals_Pro,Home_Gen_HT_Goals_Pro,Away_Gen_HT_Goals_Pro,Home_Spec_HT_Goals_Against,Away_Spec_HT_Goals_Against,Home_Gen_HT_Goals_Against,Away_Gen_HT_Goals_Against,Home_Spec_Goals_Suffered,Away_Spec_Goals_Suffered,Home_Gen_Goals_Suffered,Away_Gen_Goals_Suffered,Home_Spec_Corners_Pro,Away_Spec_Corners_Pro,Home_Gen_Corners_Pro,Away_Gen_Corners_Pro,Home_Spec_Corners_Against,Away_Spec_Corners_Against,Home_Gen_Corners_Against,Away_Gen_Corners_Against,Home_Spec_Fouls_Pro,Away_Spec_Fouls_Pro,Home_Gen_Fouls_Pro,Away_Gen_Fouls_Pro,Home_Spec_Fouls_Against,Away_Spec_Fouls_Against,Home_Gen_Fouls_Against,Away_Gen_Fouls_Against,Home_Spec_Offsides_Pro,Away_Spec_Offsides_Pro,Home_Gen_Offsides_Pro,Away_Gen_Offsides_Pro,Home_Spec_Offsides_Against,Away_Spec_Offsides_Against,Home_Gen_Offsides_Against,Away_Gen_Offsides_Against,Home_Spec_Yellows_Pro,Away_Spec_Yellows_Pro,Home_Gen_Yellows_Pro,Away_Gen_Yellows_Pro,Home_Spec_Yellows_Against,Away_Spec_Yellows_Against,Home_Gen_Yellows_Against,Away_Gen_Yellows_Against,Home_Spec_Reds_Pro,Away_Spec_Reds_Pro,Home_Gen_Reds_Pro,Away_Gen_Reds_Pro,Home_Spec_Reds_Against,Away_Spec_Reds_Against,Home_Gen_Reds_Against,Away_Gen_Reds_Against,Home_Spec_Points,Away_Spec_Points,Target
2000-08-28,Birmingham,Barnsley,1.0,0.0,1.0,1.6666666666666667,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.3333333333333333,3.0,1.0,1.3333333333333333,0.6666666666666666,2.0,9.0,3.6666666666666665,5.333333333333333,9.0,11.0,7.666666666666667,5.0,14.0,8.0,12.0,8.666666666666666,7.0,9.0,11.333333333333334,11.0,5.0,1.0,4.333333333333333,2.3333333333333335,2.0,4.0,2.0,7.0,1.0,1.0,1.6666666666666667,0.6666666666666666,2.0,1.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
2000-08-28,Burnley,Gillingham,1.0,2.0,0.6666666666666666,1.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.0,3.0,0.3333333333333333,1.6666666666666667,0.0,3.0,0.6666666666666666,2.3333333333333335,8.0,3.0,5.333333333333333,8.333333333333334,5.0,8.0,5.666666666666667,7.0,10.0,22.0,13.666666666666666,15.0,12.0,16.0,13.666666666666666,14.0,1.0,9.0,4.0,5.666666666666667,2.0,6.0,0.6666666666666666,2.3333333333333335,0.0,2.0,1.3333333333333333,0.6666666666666666,1.0,3.0,1.0,2.3333333333333335,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1.0
2000-08-28,Preston,Wimbledon,3.0,0.0,1.6666666666666667,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,3.0,5.0,5.333333333333333,6.0,9.0,8.0,7.0,5.333333333333333,15.0,12.0,12.0,14.0,25.0,10.0,16.0,12.0,3.0,2.0,6.0,2.6666666666666665,3.0,1.0,2.0,2.6666666666666665,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,1.0
2000-08-29,Crewe,Grimsby,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,0.0,0.0,2.3333333333333335,4.0,4.0,8.0,5.666666666666667,5.333333333333333,6.0,13.0,8.333333333333334,13.333333333333334,12.0,12.0,8.333333333333334,10.666666666666666,1.0,2.0,1.6666666666666667,1.6666666666666667,0.0,3.0,0.6666666666666666,2.6666666666666665,2.0,1.0,1.6666666666666667,0.3333333333333333,1.0,2.0,1.3333333333333333,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.6666666666666666,0.0
2000-09-01,Tranmere,Stockport,1.5,2.0,0.75,1.25,1.5,1.5,0.75,0.75,0.5,1.0,0.5,0.5,1.5,2.5,1.25,1.5,6.0,2.5,4.5,6.0,2.0,10.0,4.75,8.25,17.0,14.0,15.25,13.5,24.5,8.5,19.75,9.75,5.0,1.0,4.25,1.75,11.5,4.5,10.0,3.75,2.5,4.0,3.0,2.75,1.5,1.0,1.25,1.25,0.5,1.0,0.5,0.5,0.5,0.0,0.25,0.0,-0.25,0.0,0.0
2000-09-02,Gillingham,Wolves,1.0,1.0,1.25,1.0,1.0,0.5,0.75,0.5,1.0,1.5,1.25,0.75,2.0,2.0,2.0,1.25,11.0,5.5,7.0,7.75,6.5,5.0,6.5,4.0,11.5,10.5,14.25,12.0,13.0,14.5,14.0,15.0,4.0,4.0,5.0,3.25,0.5,3.0,2.5,3.25,0.0,0.5,1.25,0.5,2.0,1.0,2.25,2.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,-0.5,0.0,0.0
2000-09-02,Preston,Portsmouth,2.0,0.5,1.5,1.25,1.0,0.0,0.75,0.75,0.5,1.0,0.5,0.75,0.5,1.5,1.0,1.25,5.5,7.0,6.0,6.25,6.5,7.5,6.25,5.5,10.5,10.5,10.5,11.75,18.0,13.5,14.75,13.25,3.0,1.5,5.25,2.5,3.5,2.0,2.5,2.5,1.0,1.0,0.75,1.0,2.0,0.5,1.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0
2000-09-03,West Brom,Crystal Palace,1.0,1.0,0.75,1.25,0.0,0.5,0.25,0.5,1.0,1.5,0.5,1.5,1.5,1.5,2.0,1.75,8.5,4.0,5.25,6.0,2.0,8.5,5.0,4.5,11.5,15.0,9.75,12.75,12.5,15.0,10.75,16.0,6.5,5.5,4.5,4.75,2.5,3.5,2.5,4.0,1.5,3.0,1.25,2.75,3.0,1.0,1.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.5,-0.25,0.0
2000-09-09,Stockport,West Brom,0.5,0.5,1.2,0.8,0.0,0.5,0.8,0.4,0.0,0.0,0.8,0.4,0.5,2.5,1.6,1.6,9.5,2.0,5.2,5.0,6.5,8.0,8.0,5.6,13.0,8.0,13.8,11.2,11.0,9.0,10.0,12.0,2.5,2.5,2.8,4.8,3.0,2.5,3.2,2.6,1.5,1.0,2.2,1.0,1.5,0.0,1.2,1.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,1.0
2000-09-09,Sheffield Weds,Wimbledon,1.5,0.5,1.25,0.25,1.0,0.5,0.75,0.25,2.0,0.5,1.25,0.25,2.0,1.0,1.25,0.5,8.5,4.5,5.75,5.5,5.5,8.0,6.25,6.0,14.0,11.5,13.5,13.25,19.0,8.0,16.0,10.5,3.5,3.0,2.25,3.0,3.0,2.0,3.0,2.75,2.0,2.0,2.75,1.5,2.0,0.5,1.25,1.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,-0.25,2.0
2000-09-09,QPR,Preston,0.5,1.0,0.75,1.4,0.5,0.5,0.5,0.6,0.0,0.5,0.25,0.4,0.0,1.5,0.75,0.8,2.5,6.5,2.0,5.4,6.0,6.0,6.75,5.4,14.0,10.5,14.0,10.4,13.5,11.5,13.0,14.8,1.0,7.5,2.0,4.6,3.5,1.5,3.75,2.6,2.0,0.5,2.25,0.6,2.5,0.0,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1.0
2000-09-09,Portsmouth,Watford,2.0,1.0,1.0,1.75,1.5,0.5,0.6,0.75,0.5,0.5,0.6,0.5,1.0,0.5,1.2,0.5,5.5,5.5,5.4,6.25,3.5,6.0,5.0,6.75,13.0,13.0,12.4,10.75,13.0,13.5,12.6,10.25,3.5,3.0,2.6,3.0,3.0,3.0,2.4,2.5,1.0,1.5,1.0,1.25,1.0,0.5,0.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.75,2.0
2000-09-09,Wolves,Tranmere,1.0,0.0,0.8,1.0,0.5,0.0,0.4,1.0,0.0,0.5,0.8,0.6,0.5,1.0,1.2,1.2,10.0,3.0,7.0,5.0,3.0,7.5,5.0,4.2,13.5,13.5,13.6,14.4,15.5,15.0,15.4,18.8,2.5,3.5,3.0,3.6,3.5,8.5,3.4,9.4,0.5,3.5,1.0,2.6,4.0,1.0,2.2,1.0,0.0,0.5,0.0,0.4,0.5,0.0,0.2,0.2,-0.2,0.0,2.0
2000-09-09,Grimsby,Gillingham,0.5,1.5,0.5,1.2,0.0,0.5,0.0,0.8,1.0,1.5,0.75,1.0,1.5,2.0,1.5,1.6,6.0,3.0,4.5,7.4,4.0,6.5,4.75,6.0,13.5,17.0,11.5,14.8,10.0,15.0,9.75,15.2,1.5,6.0,1.5,4.8,2.5,4.5,2.25,2.4,0.0,2.5,0.25,1.2,1.5,2.5,1.25,2.4,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,-0.75,-0.2,0.0
2000-09-09,Crystal Palace,Burnley,1.5,0.5,1.0,0.75,0.5,0.0,0.4,0.25,1.5,0.5,1.4,0.25,2.0,1.0,1.6,0.75,8.0,4.0,6.4,5.25,0.5,6.0,4.4,5.0,10.5,15.5,13.6,13.75,17.0,14.5,16.2,13.25,4.0,5.5,4.4,3.75,4.5,0.0,4.4,1.25,2.5,2.0,2.4,1.5,2.5,1.0,1.4,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,-0.4,0.0,2.0
2000-09-09,Crewe,Norwich,1.0,1.0,0.5,0.5,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.25,0.0,2.0,0.75,1.25,1.5,3.5,2.5,5.0,5.0,3.0,5.75,2.75,6.5,12.0,8.0,14.5,9.0,9.0,7.75,13.5,1.0,8.0,1.5,7.75,0.5,2.5,0.75,3.75,1.0,1.5,1.25,2.25,0.5,2.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,-0.25,-0.75,1.0
2000-09-09,Blackburn,Nott'm Forest,2.5,1.5,1.5,1.25,1.5,1.5,1.0,0.75,0.0,0.0,0.25,0.5,1.0,1.0,0.75,1.0,6.0,1.5,5.75,6.25,4.0,6.5,4.25,4.75,12.0,17.5,14.0,12.75,14.0,11.0,12.25,8.0,3.5,6.5,2.25,4.25,2.5,5.5,2.25,4.0,2.5,3.5,2.0,2.25,3.5,2.0,2.75,1.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0
2000-09-09,Birmingham,Sheffield United,2.5,0.5,1.75,1.25,1.5,0.5,1.25,0.75,1.5,2.0,0.75,1.0,2.0,3.5,1.25,1.75,2.5,7.5,3.5,6.75,5.5,3.0,6.25,3.5,10.5,15.5,10.75,13.5,10.0,11.5,11.75,10.25,5.0,3.0,4.5,5.5,2.5,2.5,2.25,2.5,0.5,2.5,1.25,1.75,3.0,1.0,2.25,1.75,0.0,0.5,0.0,0.25,0.5,0.0,0.25,0.0,0.25,0.0,0.0
2000-09-09,Huddersfield,Bolton,1.0,1.5,1.25,1.5,1.0,0.5,1.25,0.75,1.0,0.0,0.75,0.0,2.0,0.0,1.5,0.25,8.5,1.5,7.5,2.25,5.0,7.0,7.5,6.75,16.5,20.0,16.25,16.0,15.0,15.5,13.5,14.5,2.5,8.0,2.75,4.25,6.0,5.5,4.75,6.75,0.5,1.5,1.5,1.25,2.0,1.5,1.75,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,-0.25,0.75,2.0
2000-09-10,Fulham,Barnsley,3.0,0.5,2.5,1.5,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.75,0.5,2.5,0.5,1.5,9.0,5.5,7.25,4.5,1.0,7.0,3.0,4.5,6.0,10.5,9.5,9.75,12.0,8.0,14.0,10.0,2.5,2.0,2.5,2.5,1.5,4.5,4.5,6.5,1.0,2.5,2.0,1.5,3.0,0.5,3.0,0.75,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.0
